City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,kapa'a,22.0752,-159.319,24.99,83,100,8.23,US,1706118396
221,concepcion,-36.827,-73.0498,23.89,46,0,5.66,CL,1706118122
222,fort bragg,35.139,-79.006,22.08,75,100,4.63,US,1706118397
223,st. john's,47.5649,-52.7093,-9.46,62,95,4.92,CA,1706118302
224,whitehorse,60.7161,-135.0538,-16.57,77,100,3.09,CA,1706118397
225,pandan,14.0453,124.1694,24.56,86,98,9.82,PH,1706118397
226,nadi,-17.8,177.4167,24.0,100,100,0.0,FJ,1706118397
227,pasni,25.2631,63.471,23.26,65,7,3.88,PK,1706118398
228,sarkand,45.41,79.9186,-8.63,69,2,2.54,KZ,1706118398
229,goshogawara,40.8044,140.4414,-0.6,73,100,10.18,JP,1706118398
230,mata-utu,-13.2816,-176.1745,29.03,70,83,2.02,WF,1706118398
231,garissa,-0.4536,39.6401,32.27,36,98,3.16,KE,1706118398
232,koysinceq,36.0821,44.6278,7.86,73,37,0.32,IQ,1706118398
233,san juan,-31.5375,-68.5364,35.67,18,0,4.34,AR,1706118163
234,tolanaro,-25.0319,46.9987,25.04,69,40,3.09,MG,1706118399
235,weligama,5.9667,80.4167,23.68,80,70,5.21,LK,1706118399
236,salaqi,40.5414,110.5108,-14.98,68,25,2.43,CN,1706118399
237,basco,20.4487,121.9702,20.5,71,100,9.6,PH,1706118399
238,tidjikja,18.5564,-11.4271,24.22,17,99,6.88,MR,1706118399
239,letlhakane,-21.4167,25.5833,26.3,38,52,4.37,BW,1706118400
240,nar'yan-mar,67.6713,53.087,-6.05,95,100,4.92,RU,1706118400
241,komsomolets,53.7453,62.0708,-15.92,89,94,0.85,KZ,1706118400
242,aykhal,66.0,111.5,-29.63,100,98,3.07,RU,1706118401
243,verdal,63.7933,11.4817,3.02,98,100,1.19,NO,1706118401
244,nagqu,31.5,92.0,-11.39,84,95,2.06,CN,1706118401
245,ellsworth,44.5434,-68.4195,-1.37,72,100,2.57,US,1706118401
246,jiagedaqi,50.4167,124.1167,-22.12,100,29,1.58,CN,1706118402
247,caloto,3.0359,-76.4079,30.45,41,18,1.52,CO,1706118402
248,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.49,PT,1706118402
249,acapulco de juarez,16.8634,-99.8901,30.9,48,0,0.0,MX,1706118361
250,teguise,29.0605,-13.564,18.12,49,0,2.57,ES,1706118403
251,enewetak,11.3474,162.3373,25.69,68,66,7.42,MH,1706118403
252,paulden,34.8856,-112.4682,9.28,91,15,1.23,US,1706118403
253,gamba,-2.65,10.0,27.09,81,28,2.53,GA,1706118403
254,lazaro cardenas,17.9583,-102.2,28.73,55,0,2.62,MX,1706118403
255,amuntai,-2.4177,115.2494,24.29,95,100,0.23,ID,1706118403
256,muscoy,34.1542,-117.3442,14.7,79,100,1.79,US,1706118403
257,flying fish cove,-10.4217,105.6791,25.82,83,100,2.06,CX,1706118404
258,junnar,19.2,73.8833,16.59,26,23,3.15,IN,1706118404
259,ivanteyevka,55.9711,37.9208,0.3,94,100,0.89,RU,1706118404
260,rikaze,29.25,88.8833,-5.02,38,14,1.73,CN,1706118404
261,zimovniki,47.1483,42.4633,-8.77,82,63,3.92,RU,1706118404
262,onguday,50.75,86.15,-18.93,92,40,1.26,RU,1706118405
263,yellowknife,62.456,-114.3525,-24.21,83,100,5.14,CA,1706118405
264,coahuayana de hidalgo,18.7,-103.6583,31.23,40,0,2.75,MX,1706118405
265,saint-philippe,-21.3585,55.7679,25.77,91,100,6.7,RE,1706118405
266,cromwell,41.5951,-72.6454,5.02,95,100,1.54,US,1706118405
267,waingapu,-9.6567,120.2641,26.85,82,100,5.02,ID,1706118406
268,zuunmod,47.7069,106.9528,-33.43,90,3,1.5,MN,1706118406
269,borba,-4.3878,-59.5939,29.26,81,85,1.08,BR,1706118406
270,coquimbo,-29.9533,-71.3436,19.85,77,75,5.66,CL,1706118399
271,razampeta,14.1833,79.1667,21.73,82,30,1.86,IN,1706118406
272,tshikapa,-6.4167,20.8,25.02,76,40,0.95,CD,1706118406
273,wild rose,44.1786,-89.249,3.03,96,100,1.38,US,1706118406
274,mishkovo-pohorilove,46.9995,32.118,2.28,87,87,4.76,UA,1706118407
275,opuwo,-18.0607,13.84,29.51,30,92,4.96,NA,1706118407
276,lihue,21.9789,-159.3672,24.58,81,100,8.23,US,1706118407
277,plymouth,41.8334,-70.8328,3.41,95,100,1.54,US,1706118407
278,mombetsu,44.3525,143.3525,-5.93,91,100,12.89,JP,1706118407
279,pisco,-13.7,-76.2167,25.57,83,40,4.63,PE,1706118407
280,puerto santa,-8.9906,-78.6456,25.42,74,54,3.54,PE,1706118408
281,lompoc,34.6391,-120.4579,13.1,89,40,2.57,US,1706118408
282,qamdo,31.1667,97.2333,-10.82,48,16,2.46,CN,1706118408
283,langzhong,31.5504,105.9938,2.98,69,31,0.79,CN,1706118408
284,fort mcmurray,56.7268,-111.381,-9.23,85,100,5.14,CA,1706118408
285,bredasdorp,-34.5322,20.0403,20.07,79,0,6.73,ZA,1706118408
286,sebastopol,44.6,33.5333,3.77,61,38,2.11,UA,1706118408
287,zabaykal'sk,49.6333,117.3167,-21.63,89,6,2.44,RU,1706118409
288,zaslawye,54.0143,27.2695,0.61,98,100,7.28,BY,1706118409
289,bac lieu,9.285,105.7244,25.08,76,14,10.36,VN,1706118409
290,champerico,14.3,-91.9167,34.3,57,3,4.11,GT,1706118409
291,colonia,50.9333,6.95,10.87,72,40,6.69,DE,1706118336
292,luderitz,-26.6481,15.1594,21.34,70,100,5.11,NA,1706118409
293,kununurra,-15.7667,128.7333,25.99,94,40,2.06,AU,1706118410
294,sinop,41.7711,34.8709,-1.22,74,2,2.89,TR,1706118410
295,aguilar,37.5148,-4.6572,19.32,57,0,0.71,ES,1706118410
296,vadso,70.0744,29.7487,-0.91,86,75,7.72,NO,1706118410
297,saurimo,-9.6608,20.3916,20.18,89,86,0.61,AO,1706118410
298,labrador city,52.9463,-66.9114,-19.05,50,75,5.14,CA,1706118411
299,sinabang,2.4803,96.3801,26.78,81,92,0.7,ID,1706118411
300,ulaangom,49.9811,92.0667,-35.23,94,89,1.25,MN,1706118411
301,xiangxiang,27.7333,112.5333,0.43,74,100,0.58,CN,1706118411
302,nenjiang,49.1833,125.2167,-25.46,100,80,1.06,CN,1706118411
303,aral,40.5156,81.2636,-4.76,38,0,0.54,CN,1706118411
304,eydhafushi,5.1033,73.0708,27.54,77,13,5.12,MV,1706118412
305,port moresby,-9.4431,147.1797,24.68,88,75,5.14,PG,1706118125
306,cuxhaven,53.8718,8.6909,7.76,81,75,11.32,DE,1706118412
307,saint-pierre,-21.3393,55.4781,25.82,94,100,6.17,RE,1706118412
308,hobyo,5.3505,48.5268,25.89,77,2,8.07,SO,1706118412
309,hinesville,31.8469,-81.5959,24.06,87,100,4.63,US,1706118308
310,sovetskaya gavan',48.9723,140.2878,-13.83,90,100,7.4,RU,1706118117
311,gargalianoi,37.0667,21.6333,9.09,58,2,3.18,GR,1706118413
312,lenoir,35.2335,-77.6497,20.64,64,0,4.63,US,1706118413
313,laojunmiao,39.8333,97.7333,-14.48,85,100,1.13,CN,1706118413
314,new norfolk,-42.7826,147.0587,16.07,94,22,0.67,AU,1706118413
315,vinton,37.281,-79.897,11.36,91,100,4.12,US,1706118219
316,vila velha,-20.3297,-40.2925,24.41,90,100,4.12,BR,1706118413
317,santana,-0.0583,-51.1817,32.1,66,40,6.17,BR,1706118414
318,fort st. john,56.2499,-120.8529,-15.06,85,75,1.54,CA,1706118414
319,ust-nera,64.5667,143.2,-33.46,98,94,1.55,RU,1706118414
320,moyynkum,44.2914,72.9469,-1.08,82,100,3.31,KZ,1706118414
